film_id,Title,Description,ReleaseYear,Language,RentalDuration,RentalRate,Rating,Length,ReplacementCost,SpecialFeatures,Category,Actors
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,English,6,0.99,PG,86,20.99,"Deleted Scenes,Behind the Scenes",Documentary,"1//PENELOPE//GUINESS,10//CHRISTIAN//GABLE,20//LUCILLE//TRACY,30//SANDRA//PECK,40//JOHNNY//CAGE,53//MENA//TEMPLE,108//WARREN//NOLTE,162//OPRAH//KILMER,188//ROCK//DUKAKIS,198//MARY//KEITEL"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,English,3,4.99,G,48,12.99,"Trailers,Deleted Scenes",Horror,"19//BOB//FAWCETT,85//MINNIE//ZELLWEGER,90//SEAN//GUINESS,160//CHRIS//DEPP"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,English,7,2.99,NC-17,50,18.99,"Trailers,Deleted Scenes",Documentary,"2//NICK//WAHLBERG,19//BOB//FAWCETT,24//CAMERON//STREEP,64//RAY//JOHANSSON,123//JULIANNE//DENCH"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,English,5,2.99,G,117,26.99,"Commentaries,Behind the Scenes",Horror,"41//JODIE//DEGENERES,81//SCARLETT//DAMON,88//KENNETH//PESCI,147//FAY//WINSLET,162//OPRAH//KILMER"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,English,6,2.99,G,130,22.99,"Deleted Scenes",Family,"51//GARY//PHOENIX,59//DUSTIN//TAUTOU,103//MATTHEW//LEIGH,181//MATTHEW//CARREY,200//THORA//TEMPLE"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,English,3,2.99,PG,169,17.99,"Deleted Scenes",Foreign,"21//KIRSTEN//PALTROW,23//SANDRA//KILMER,62//JAYNE//NEESON,108//WARREN//NOLTE,137//MORGAN//WILLIAMS,169//KENNETH//HOFFMAN,197//REESE//WEST"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,English,6,4.99,PG-13,62,28.99,"Trailers,Deleted Scenes",Comedy,"99//JIM//MOSTEL,133//RICHARD//PENN,162//OPRAH//KILMER,170//MENA//HOPPER,185//MICHAEL//BOLGER"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,English,6,4.99,R,54,15.99,Trailers,Horror,"55//FAY//KILMER,96//GENE//WILLIS,110//SUSAN//DAVIS,138//LUCILLE//DEE"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,English,3,2.99,PG-13,114,21.99,"Trailers,Deleted Scenes",Horror,"10//CHRISTIAN//GABLE,22//ELVIS//MARX,26//RIP//CRAWFORD,53//MENA//TEMPLE,68//RIP//WINSLET,108//WARREN//NOLTE,130//GRETA//KEITEL,175//WILLIAM//HACKMAN,194//MERYL//ALLEN"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,English,6,4.99,NC-17,63,24.99,"Trailers,Deleted Scenes",Sports,"29//ALEC//WAYNE,35//JUDY//DEAN,37//VAL//BOLGER,64//RAY//JOHANSSON,117//RENEE//TRACY,142//JADA//RYDER,157//GRETA//MALDEN,188//ROCK//DUKAKIS"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,English,6,0.99,G,126,16.99,"Commentaries,Behind the Scenes",Foreign,"40//JOHNNY//CAGE,81//SCARLETT//DAMON,90//SEAN//GUINESS,174//MICHAEL//BENING"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,English,6,0.99,PG,136,22.99,"Commentaries,Deleted Scenes",Music,"37//VAL//BOLGER,75//BURT//POSEY,105//SIDNEY//CROWE,109//SYLVESTER//DERN,146//ALBERT//JOHANSSON,177//GENE//MCKELLEN,180//JEFF//SILVERSTONE"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,English,4,4.99,PG,150,21.99,"Deleted Scenes,Behind the Scenes",Horror,"77//CARY//MCCONAUGHEY,91//CHRISTOPHER//BERRY,94//KENNETH//TORN,114//MORGAN//MCDORMAND,176//JON//CHASE"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,English,6,0.99,NC-17,94,23.99,"Trailers,Deleted Scenes,Behind the Scenes",Classics,"28//WOODY//HOFFMAN,85//MINNIE//ZELLWEGER,137//MORGAN//WILLIAMS,188//ROCK//DUKAKIS"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,English,5,2.99,NC-17,46,10.99,"Trailers,Commentaries,Behind the Scenes",Foreign,"36//BURT//DUKAKIS,69//KENNETH//PALTROW,105//SIDNEY//CROWE,117//RENEE//TRACY,164//HUMPHREY//WILLIS,170//MENA//HOPPER"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,English,6,2.99,NC-17,180,23.99,"Trailers,Commentaries",Foreign,"12//KARL//BERRY,57//JUDE//CRUISE,146//ALBERT//JOHANSSON,191//GREGORY//GOODING,192//JOHN//SUVARI"
17,"ALONE TRIP","A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,English,3,0.99,R,82,14.99,"Trailers,Behind the Scenes",Music,"3//ED//CHASE,12//KARL//BERRY,13//UMA//WOOD,82//WOODY//JOLIE,100//SPENCER//DEPP,160//CHRIS//DEPP,167//LAURENCE//BULLOCK,187//RENEE//BALL"
18,"ALTER VICTORY","A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,English,6,0.99,PG-13,57,27.99,"Trailers,Behind the Scenes",Animation,"45//REESE//KILMER,142//JADA//RYDER,144//ANGELA//WITHERSPOON,162//OPRAH//KILMER"
19,"AMADEUS HOLY","A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,English,6,0.99,PG,113,20.99,"Commentaries,Deleted Scenes,Behind the Scenes",Action,"5//JOHNNY//LOLLOBRIGIDA,27//JULIA//MCQUEEN,37//VAL//BOLGER,43//KIRK//JOVOVICH,84//JAMES//PITT,104//PENELOPE//CRONYN"
20,"AMELIE HELLFIGHTERS","A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,English,4,4.99,R,79,23.99,"Commentaries,Deleted Scenes,Behind the Scenes",Music,"52//CARMEN//HUNT,102//WALTER//TORN,136//ED//MANSFIELD,139//EWAN//GOODING,155//IAN//TANDY,159//LAURA//BRODY"
21,"AMERICAN CIRCUS","A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,English,3,4.99,R,129,17.99,"Commentaries,Behind the Scenes",Action,"25//KEVIN//BLOOM,26//RIP//CRAWFORD,105//SIDNEY//CROWE,119//WARREN//JACKMAN,126//FRANCES//TOMEI"
22,"AMISTAD MIDSUMMER","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,English,6,2.99,G,85,10.99,"Commentaries,Behind the Scenes",New,"77//CARY//MCCONAUGHEY,95//DARYL//WAHLBERG,122//SALMA//NOLTE,124//SCARLETT//BENING"
23,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,English,3,0.99,R,92,9.99,"Trailers,Deleted Scenes",Animation,"1//PENELOPE//GUINESS,4//JENNIFER//DAVIS,22//ELVIS//MARX,150//JAYNE//NOLTE,164//HUMPHREY//WILLIS"
24,"ANALYZE HOOSIERS","A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,English,6,2.99,R,181,19.99,"Trailers,Behind the Scenes",Horror,"38//TOM//MCKELLEN,42//TOM//MIRANDA,67//JESSICA//BAILEY,157//GRETA//MALDEN,179//ED//GUINESS"
25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,English,3,2.99,G,74,15.99,Trailers,New,"1//PENELOPE//GUINESS,4//JENNIFER//DAVIS,7//GRACE//MOSTEL,47//JULIA//BARRYMORE,91//CHRISTOPHER//BERRY,136//ED//MANSFIELD,166//NICK//DEGENERES,167//LAURENCE//BULLOCK,187//RENEE//BALL"
26,"ANNIE IDENTITY","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park",2006,English,3,0.99,G,86,15.99,"Commentaries,Deleted Scenes",Sci-Fi,"71//ADAM//GRANT,128//CATE//MCQUEEN,130//GRETA//KEITEL"
27,"ANONYMOUS HUMAN","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,English,7,0.99,NC-17,179,12.99,"Deleted Scenes,Behind the Scenes",Sports,"7//GRACE//MOSTEL,55//FAY//KILMER,99//JIM//MOSTEL,110//SUSAN//DAVIS,140//WHOOPI//HURT,148//EMILY//DEE,154//MERYL//GIBSON,170//MENA//HOPPER,179//ED//GUINESS"
28,"ANTHEM LUKE","A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park",2006,English,5,4.99,PG-13,91,16.99,"Deleted Scenes,Behind the Scenes",Comedy,"74//MILLA//KEITEL,162//OPRAH//KILMER"
29,"ANTITRUST TOMATOES","A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India",2006,English,5,2.99,NC-17,168,11.99,"Trailers,Commentaries,Deleted Scenes",Action,"6//BETTE//NICHOLSON,13//UMA//WOOD,105//SIDNEY//CROWE,122//SALMA//NOLTE,175//WILLIAM//HACKMAN,187//RENEE//BALL,197//REESE//WEST"
30,"ANYTHING SAVANNAH","A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House",2006,English,4,2.99,R,82,27.99,"Trailers,Deleted Scenes,Behind the Scenes",Horror,"9//JOE//SWANK,163//CHRISTOPHER//WEST,178//LISA//MONROE"
31,"APACHE DIVINE","A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat",2006,English,5,4.99,NC-17,92,16.99,"Commentaries,Deleted Scenes,Behind the Scenes",Family,"2//NICK//WAHLBERG,15//CUBA//OLIVIER,49//ANNE//CRONYN,60//HENRY//BERRY"
32,"APOCALYPSE FLAMINGOS","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park",2006,English,6,4.99,R,119,11.99,"Trailers,Commentaries",New,"79//MAE//HOFFMAN,158//VIVIEN//BASINGER,162//OPRAH//KILMER,168//WILL//WILSON,183//RUSSELL//CLOSE"
33,"APOLLO TEEN","A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft",2006,English,5,2.99,PG-13,153,15.99,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Drama,"79//MAE//HOFFMAN,82//WOODY//JOLIE,136//ED//MANSFIELD,146//ALBERT//JOHANSSON,162//OPRAH//KILMER,170//MENA//HOPPER,180//JEFF//SILVERSTONE,182//DEBBIE//AKROYD"
34,"ARABIA DOGMA","A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria",2006,English,6,0.99,NC-17,62,29.99,"Commentaries,Deleted Scenes",Horror,"12//KARL//BERRY,26//RIP//CRAWFORD,27//JULIA//MCQUEEN,40//JOHNNY//CAGE,57//JUDE//CRUISE,72//SEAN//WILLIAMS,75//BURT//POSEY,102//WALTER//TORN,112//RUSSELL//BACALL,126//FRANCES//TOMEI,157//GRETA//MALDEN,178//LISA//MONROE"
35,"ARACHNOPHOBIA ROLLERCOASTER","A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station",2006,English,4,2.99,PG-13,147,24.99,"Trailers,Deleted Scenes,Behind the Scenes",Horror,"7//GRACE//MOSTEL,35//JUDY//DEAN,95//DARYL//WAHLBERG,113//MORGAN//HOPKINS,118//CUBA//ALLEN,135//RITA//REYNOLDS,139//EWAN//GOODING,184//HUMPHREY//GARLAND"
36,"ARGONAUTS TOWN","A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft",2006,English,7,0.99,PG-13,127,12.99,"Trailers,Commentaries",Animation,"47//JULIA//BARRYMORE,73//GARY//PENN,96//GENE//WILLIS,116//DAN//STREEP,127//KEVIN//GARLAND"
37,"ARIZONA BANG","A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery",2006,English,3,2.99,PG,121,28.99,"Trailers,Deleted Scenes",Classics,"12//KARL//BERRY,64//RAY//JOHANSSON,112//RUSSELL//BACALL,130//GRETA//KEITEL"
38,"ARK RIDGEMONT","A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert",2006,English,6,0.99,NC-17,68,25.99,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Action,"46//PARKER//GOLDBERG,166//NICK//DEGENERES,190//AUDREY//BAILEY"
39,"ARMAGEDDON LOST","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft",2006,English,5,0.99,G,99,10.99,Trailers,Sci-Fi,"65//ANGELA//HUDSON,84//JAMES//PITT,104//PENELOPE//CRONYN,118//CUBA//ALLEN,145//KIM//ALLEN,177//GENE//MCKELLEN,191//GREGORY//GOODING"
40,"ARMY FLINTSTONES","A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria",2006,English,4,0.99,R,148,22.99,"Trailers,Commentaries",Documentary,"3//ED//CHASE,77//CARY//MCCONAUGHEY,79//MAE//HOFFMAN,96//GENE//WILLIS,104//PENELOPE//CRONYN,181//MATTHEW//CARREY,183//RUSSELL//CLOSE"
41,"ARSENIC INDEPENDENCE","A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin",2006,English,4,0.99,PG,137,17.99,"Trailers,Deleted Scenes,Behind the Scenes",Travel,"118//CUBA//ALLEN,135//RITA//REYNOLDS,162//OPRAH//KILMER"
42,"ARTIST COLDBLOODED","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,English,5,2.99,NC-17,170,10.99,"Trailers,Behind the Scenes",Sports,"3//ED//CHASE,23//SANDRA//KILMER,43//KIRK//JOVOVICH,62//JAYNE//NEESON,105//SIDNEY//CROWE,117//RENEE//TRACY,194//MERYL//ALLEN"
43,"ATLANTIS CAUSE","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,English,6,2.99,G,170,15.99,"Behind the Scenes",Family,"28//WOODY//HOFFMAN,34//AUDREY//OLIVIER,123//JULIANNE//DENCH,126//FRANCES//TOMEI,130//GRETA//KEITEL,141//CATE//HARRIS,160//CHRIS//DEPP,161//HARVEY//HOPE,189//CUBA//BIRCH"
44,"ATTACKS HATE","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",2006,English,5,4.99,PG-13,113,21.99,"Trailers,Behind the Scenes",Sci-Fi,"18//DAN//TORN,74//MILLA//KEITEL,106//GROUCHO//DUNST,193//BURT//TEMPLE"
45,"ATTRACTION NEWTON","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",2006,English,5,4.99,PG-13,83,14.99,"Trailers,Behind the Scenes",New,"13//UMA//WOOD,68//RIP//WINSLET,73//GARY//PENN,163//CHRISTOPHER//WEST"
46,"AUTUMN CROW","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",2006,English,3,4.99,G,108,13.99,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",Games,"59//DUSTIN//TAUTOU,65//ANGELA//HUDSON,84//JAMES//PITT"
47,"BABY HALL","A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft",2006,English,5,4.99,NC-17,153,23.99,Commentaries,Foreign,"2//NICK//WAHLBERG,8//MATTHEW//JOHANSSON,89//CHARLIZE//DENCH,95//DARYL//WAHLBERG,127//KEVIN//GARLAND,143//RIVER//DEAN,153//MINNIE//KILMER,158//VIVIEN//BASINGER"
48,"BACKLASH UNDEFEATED","A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery",2006,English,3,4.99,PG-13,118,24.99,"Trailers,Behind the Scenes",Children,"58//CHRISTIAN//AKROYD,87//SPENCER//PECK,91//CHRISTOPHER//BERRY,109//SYLVESTER//DERN,116//DAN//STREEP,127//KEVIN//GARLAND,131//JANE//JACKMAN"
49,"BADMAN DAWN","A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat",2006,English,6,2.99,R,162,22.99,"Trailers,Commentaries,Behind the Scenes",Sci-Fi,"83//BEN//WILLIS,115//HARRISON//BALE,118//CUBA//ALLEN,119//WARREN//JACKMAN,130//GRETA//KEITEL,171//OLYMPIA//PFEIFFER,173//ALAN//DREYFUSS,200//THORA//TEMPLE"
50,"BAKED CLEOPATRA","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",2006,English,3,2.99,G,182,20.99,"Commentaries,Behind the Scenes",Family,70//MICHELLE//MCCONAUGHEY
51,"BALLOON HOMEWARD","A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station",2006,English,5,2.99,NC-17,75,10.99,"Deleted Scenes",Music,"46//PARKER//GOLDBERG,53//MENA//TEMPLE,73//GARY//PENN,133//RICHARD//PENN,187//RENEE//BALL,188//ROCK//DUKAKIS"
52,"BALLROOM MOCKINGBIRD","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California",2006,English,6,0.99,G,173,29.99,"Commentaries,Deleted Scenes",Foreign,"35//JUDY//DEAN,71//ADAM//GRANT,83//BEN//WILLIS,95//DARYL//WAHLBERG,115//HARRISON//BALE,138//LUCILLE//DEE,177//GENE//MCKELLEN"
53,"BANG KWAI","A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park",2006,English,5,2.99,NC-17,87,25.99,"Commentaries,Deleted Scenes,Behind the Scenes",Family,"6//BETTE//NICHOLSON,30//SANDRA//PECK,47//JULIA//BARRYMORE,70//MICHELLE//MCCONAUGHEY,102//WALTER//TORN,149//RUSSELL//TEMPLE,156//FAY//WOOD"
54,"BANGER PINOCCHIO","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006,English,5,0.99,R,113,15.99,"Trailers,Commentaries,Deleted Scenes",Music,"5//JOHNNY//LOLLOBRIGIDA,20//LUCILLE//TRACY,59//DUSTIN//TAUTOU,62//JAYNE//NEESON,96//GENE//WILLIS,190//AUDREY//BAILEY"
55,"BARBARELLA STREETCAR","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,English,6,2.99,G,65,27.99,"Behind the Scenes",Sci-Fi,"66//MARY//TANDY,118//CUBA//ALLEN,166//NICK//DEGENERES,173//ALAN//DREYFUSS,177//GENE//MCKELLEN"
56,"BAREFOOT MANCHURIAN","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park",2006,English,6,2.99,G,129,15.99,"Trailers,Commentaries",Action,"4//JENNIFER//DAVIS,22//ELVIS//MARX,33//MILLA//PECK,43//KIRK//JOVOVICH,129//DARYL//CRAWFORD,136//ED//MANSFIELD,137//MORGAN//WILLIAMS,168//WILL//WILSON"
57,"BASIC EASY","A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat",2006,English,4,2.99,PG-13,90,18.99,"Deleted Scenes",Travel,"67//JESSICA//BAILEY,120//PENELOPE//MONROE,130//GRETA//KEITEL,139//EWAN//GOODING,148//EMILY//DEE,172//GROUCHO//WILLIAMS"
58,"BEACH HEARTBREAKERS","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,English,6,2.99,G,122,16.99,"Deleted Scenes,Behind the Scenes",Documentary,"28//WOODY//HOFFMAN,44//NICK//STALLONE,53//MENA//TEMPLE,83//BEN//WILLIS,96//GENE//WILLIS,126//FRANCES//TOMEI,161//HARVEY//HOPE"
59,"BEAR GRACELAND","A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station",2006,English,4,2.99,R,160,20.99,"Deleted Scenes",Children,"81//SCARLETT//DAMON,104//PENELOPE//CRONYN,152//BEN//HARRIS"
60,"BEAST HUNCHBACK","A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China",2006,English,3,4.99,R,89,22.99,"Deleted Scenes,Behind the Scenes",Classics,"6//BETTE//NICHOLSON,41//JODIE//DEGENERES,76//ANGELINA//ASTAIRE,94//KENNETH//TORN,101//SUSAN//DAVIS"
61,"BEAUTY GREASE","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,English,5,4.99,G,175,28.99,"Trailers,Commentaries",Drama,"111//CAMERON//ZELLWEGER,136//ED//MANSFIELD,138//LUCILLE//DEE,166//NICK//DEGENERES,174//MICHAEL//BENING"
62,"BED HIGHBALL","A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House",2006,English,5,2.99,NC-17,106,23.99,"Trailers,Commentaries,Deleted Scenes",Documentary,"4//JENNIFER//DAVIS,107//GINA//DEGENERES,110//SUSAN//DAVIS,125//ALBERT//NOLTE,190//AUDREY//BAILEY"
63,"BEDAZZLED MARRIED","A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House",2006,English,6,0.99,PG,73,21.99,"Trailers,Deleted Scenes,Behind the Scenes",Family,"20//LUCILLE//TRACY,51//GARY//PHOENIX,56//DAN//HARRIS,120//PENELOPE//MONROE,150//JAYNE//NOLTE,167//LAURENCE//BULLOCK,197//REESE//WEST"
64,"BEETHOVEN EXORCIST","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,English,6,0.99,PG-13,151,26.99,"Commentaries,Behind the Scenes",Drama,"30//SANDRA//PECK,119//WARREN//JACKMAN,124//SCARLETT//BENING,153//MINNIE//KILMER,158//VIVIEN//BASINGER,196//BELA//WALKEN"
65,"BEHAVIOR RUNAWAY","A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin",2006,English,3,4.99,PG,100,20.99,"Trailers,Deleted Scenes,Behind the Scenes",Horror,"32//TIM//HACKMAN,45//REESE//KILMER,95//DARYL//WAHLBERG,135//RITA//REYNOLDS,179//ED//GUINESS"
